workclass,hours-per-week,sex,age,race,occupation,capital-loss,education,capital-gain,marital-status,relationship,income
Private,50,1,22,0,Craft-repair,0,HS-grad,0,Never-married,Own-child,0
Private,39,1,46,1,Exec-managerial,0,Some-college,5178,Divorced,Unmarried,1
Private,40,1,57,0,Adm-clerical,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,38,1,Craft-repair,0,10th,0,Never-married,Not-in-family,0
Local-gov,40,0,38,1,Transport-moving,0,HS-grad,0,Married-civ-spouse,Husband,1
Self-emp-inc,50,0,38,1,Exec-managerial,0,Some-college,0,Married-civ-spouse,Husband,1
Private,40,1,46,0,Prof-specialty,0,Bachelors,0,Married-civ-spouse,Husband,0
Private,50,0,57,0,Prof-specialty,0,Masters,0,Married-civ-spouse,Husband,0
Local-gov,60,0,38,1,Transport-moving,0,11th,0,Married-civ-spouse,Husband,0
Private,40,0,38,1,Other-service,0,HS-grad,0,Married-civ-spouse,Wife,0
Private,40,0,57,1,Handlers-cleaners,0,Some-college,0,Married-civ-spouse,Husband,0
Local-gov,40,1,31,1,Adm-clerical,0,Bachelors,0,Married-civ-spouse,Own-child,0
Private,20,0,46,1,Handlers-cleaners,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,0,22,1,Adm-clerical,0,HS-grad,0,Never-married,Not-in-family,0
Self-emp-inc,39,1,31,1,Exec-managerial,0,Masters,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,50,0,38,1,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,60,0,38,1,Exec-managerial,0,Bachelors,0,Never-married,Not-in-family,0
Private,40,1,31,0,Machine-op-inspct,0,5th-6th,0,Divorced,Not-in-family,0
Private,40,1,57,1,Tech-support,0,Some-college,0,Married-civ-spouse,Husband,0
Private,50,0,46,1,Exec-managerial,2258,Bachelors,0,Married-civ-spouse,Husband,1
Private,60,0,46,0,Sales,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,57,0,Transport-moving,0,Some-college,0,Divorced,Not-in-family,0
Private,39,1,22,0,Exec-managerial,0,Masters,0,Never-married,Own-child,0
Private,20,0,38,1,Adm-clerical,0,Bachelors,0,Divorced,Unmarried,0
Private,50,1,22,1,Other-service,0,HS-grad,0,Never-married,Own-child,0
Private,40,0,31,1,Transport-moving,0,HS-grad,0,Married-civ-spouse,Husband,0
Federal-gov,40,0,31,1,Handlers-cleaners,0,1st-4th,0,Married-spouse-absent,Not-in-family,0
Private,60,0,31,1,Transport-moving,0,Some-college,0,Married-civ-spouse,Husband,0
Private,39,1,22,1,Prof-specialty,0,Some-college,0,Never-married,Not-in-family,0
Private,20,0,22,1,Prof-specialty,0,Bachelors,0,Never-married,Own-child,0
Private,60,0,31,1,Adm-clerical,0,9th,0,Divorced,Not-in-family,0
Private,40,0,38,0,Adm-clerical,0,HS-grad,0,Married-civ-spouse,Wife,1
State-gov,60,0,57,0,Exec-managerial,0,Some-college,0,Widowed,Not-in-family,0
Private,50,1,38,1,Protective-serv,0,Some-college,0,Married-civ-spouse,Husband,1
Private,39,1,31,1,Prof-specialty,0,Prof-school,0,Divorced,Not-in-family,0
Private,20,1,22,1,Sales,0,Some-college,0,Never-married,Own-child,0
Private,40,0,22,1,Sales,0,Some-college,0,Never-married,Own-child,0
Private,20,1,46,1,Prof-specialty,0,Prof-school,0,Married-civ-spouse,Husband,1
Private,40,0,38,0,Other-service,0,Assoc-voc,0,Married-civ-spouse,Husband,0
Private,40,1,31,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,40,1,31,1,Craft-repair,0,HS-grad,5178,Married-civ-spouse,Husband,0
Private,39,1,57,0,Exec-managerial,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,40,0,22,1,Craft-repair,0,Some-college,0,Never-married,Own-child,0
Private,40,1,38,1,Tech-support,0,Masters,5178,Married-civ-spouse,Wife,1
Local-gov,39,1,38,1,Adm-clerical,0,HS-grad,0,Never-married,Unmarried,0
Private,20,1,46,0,Other-service,0,12th,0,Never-married,Not-in-family,0
Private,40,1,31,1,Sales,0,Some-college,0,Never-married,Unmarried,0
Private,40,1,46,1,Handlers-cleaners,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,40,1,38,0,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,0,46,0,Other-service,0,HS-grad,0,Widowed,Not-in-family,0
Private,20,1,22,0,Handlers-cleaners,0,Some-college,0,Never-married,Own-child,0
Private,40,0,31,0,Other-service,0,HS-grad,0,Never-married,Own-child,0
Private,40,1,57,1,Sales,0,Some-college,0,Divorced,Unmarried,0
Private,39,1,46,1,Sales,0,HS-grad,0,Divorced,Not-in-family,0
Private,40,0,46,0,Other-service,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,39,0,57,1,Prof-specialty,0,Doctorate,0,Married-civ-spouse,Husband,1
Private,40,0,22,0,Craft-repair,0,HS-grad,0,Never-married,Unmarried,0
Private,60,0,38,1,Transport-moving,0,HS-grad,0,Divorced,Unmarried,0
Private,40,0,22,0,Other-service,0,Bachelors,0,Never-married,Own-child,0
Self-emp-not-inc,20,0,38,0,Adm-clerical,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,60,0,57,1,Adm-clerical,0,Bachelors,0,Widowed,Not-in-family,0
Self-emp-not-inc,20,0,22,0,Craft-repair,0,HS-grad,0,Never-married,Own-child,0
Self-emp-not-inc,39,1,46,1,Exec-managerial,0,Masters,7688,Divorced,Unmarried,1
Private,39,1,31,1,Handlers-cleaners,0,HS-grad,0,Never-married,Own-child,0
Private,40,1,46,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
State-gov,20,1,22,1,Prof-specialty,0,Masters,0,Never-married,Own-child,0
Private,40,0,31,0,Machine-op-inspct,0,Some-college,0,Never-married,Own-child,0
Private,40,1,31,1,Adm-clerical,1579,HS-grad,0,Married-civ-spouse,Wife,0
Private,50,0,38,0,Machine-op-inspct,0,HS-grad,0,Never-married,Not-in-family,0
Private,20,0,22,1,Craft-repair,0,HS-grad,0,Never-married,Not-in-family,0
Self-emp-not-inc,40,0,22,1,Sales,0,11th,0,Never-married,Not-in-family,0
Private,40,1,31,1,Craft-repair,0,5th-6th,0,Married-civ-spouse,Not-in-family,0
Self-emp-not-inc,39,1,22,0,Farming-fishing,0,HS-grad,2635,Never-married,Own-child,0
Private,40,0,38,0,Adm-clerical,0,Bachelors,0,Never-married,Not-in-family,0
Private,39,1,46,1,Machine-op-inspct,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,20,1,22,0,Adm-clerical,0,Bachelors,5178,Never-married,Not-in-family,0
Local-gov,20,0,31,0,Prof-specialty,0,Bachelors,0,Divorced,Not-in-family,0
Local-gov,40,0,22,0,Prof-specialty,0,HS-grad,0,Never-married,Own-child,0
Private,40,1,38,0,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,20,1,31,1,Adm-clerical,0,HS-grad,0,Never-married,Other-relative,0
Private,40,1,22,0,Exec-managerial,0,Some-college,0,Married-civ-spouse,Husband,1
Private,40,1,38,0,Sales,0,Assoc-acdm,0,Married-civ-spouse,Husband,0
State-gov,60,1,22,1,Prof-specialty,0,Bachelors,0,Married-civ-spouse,Other-relative,0
Private,20,1,22,0,Handlers-cleaners,0,Some-college,0,Never-married,Not-in-family,0
Private,40,0,31,1,Sales,0,HS-grad,0,Divorced,Not-in-family,0
Private,60,0,38,0,Prof-specialty,1876,Some-college,0,Married-civ-spouse,Wife,1
Private,20,1,38,0,Other-service,1579,Some-college,0,Married-civ-spouse,Husband,0
State-gov,40,1,31,0,Exec-managerial,0,Masters,0,Married-civ-spouse,Husband,1
Private,60,0,31,1,Transport-moving,0,HS-grad,0,Never-married,Not-in-family,0
Local-gov,39,0,46,0,Prof-specialty,0,Prof-school,0,Married-civ-spouse,Husband,1
Self-emp-inc,39,0,57,1,Sales,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,60,0,22,0,Transport-moving,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,0,57,1,Exec-managerial,0,Bachelors,0,Divorced,Not-in-family,0
Local-gov,39,0,31,1,Prof-specialty,0,Prof-school,7688,Separated,Not-in-family,1
Private,50,1,31,0,Sales,0,Some-college,0,Never-married,Not-in-family,0
Private,40,0,22,0,Machine-op-inspct,0,HS-grad,0,Never-married,Not-in-family,0
Private,50,0,22,1,Transport-moving,0,HS-grad,0,Never-married,Own-child,0
State-gov,40,0,57,1,Adm-clerical,0,Some-college,0,Divorced,Not-in-family,0
Private,20,1,57,0,Machine-op-inspct,0,Assoc-acdm,15024,Married-civ-spouse,Husband,1
Private,20,0,22,1,Craft-repair,0,Bachelors,0,Never-married,Not-in-family,0
Private,60,1,57,0,Prof-specialty,0,Prof-school,0,Married-civ-spouse,Husband,1
Self-emp-inc,60,0,46,0,Exec-managerial,0,Some-college,5178,Married-civ-spouse,Husband,1
Private,60,0,57,1,Transport-moving,0,10th,0,Married-civ-spouse,Husband,0
Federal-gov,20,0,57,0,Adm-clerical,0,Some-college,0,Married-civ-spouse,Husband,0
Private,20,0,22,1,Handlers-cleaners,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,1,38,0,Craft-repair,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,40,0,38,0,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,0
Local-gov,60,0,31,1,Prof-specialty,0,Bachelors,0,Never-married,Not-in-family,0
Private,20,0,38,1,Other-service,0,Assoc-acdm,0,Divorced,Not-in-family,0
Local-gov,39,0,22,0,Handlers-cleaners,0,Some-college,0,Never-married,Own-child,0
Private,50,0,57,1,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,40,1,31,1,Handlers-cleaners,0,Some-college,0,Divorced,Unmarried,0
Private,39,0,46,0,Prof-specialty,0,Bachelors,0,Married-civ-spouse,Wife,1
Private,40,1,22,1,Tech-support,0,HS-grad,2635,Married-civ-spouse,Husband,0
Private,39,0,38,1,Adm-clerical,0,HS-grad,0,Married-civ-spouse,Wife,1
Private,39,0,22,1,Other-service,0,Some-college,0,Never-married,Own-child,0
Private,40,1,31,1,Prof-specialty,0,Bachelors,0,Divorced,Unmarried,0
Local-gov,40,1,38,0,Prof-specialty,0,Some-college,0,Divorced,Unmarried,0
Private,39,1,31,1,Exec-managerial,0,Some-college,0,Never-married,Unmarried,0
Self-emp-inc,40,1,46,1,Transport-moving,1876,5th-6th,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,60,1,31,0,Other-service,0,Some-college,0,Separated,Unmarried,0
Private,20,1,57,1,Machine-op-inspct,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,40,1,57,0,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,38,0,Exec-managerial,1902,Bachelors,0,Married-civ-spouse,Husband,1
Private,40,1,46,1,Sales,0,Some-college,0,Married-civ-spouse,Husband,1
Private,40,1,57,0,Exec-managerial,0,11th,0,Married-civ-spouse,Husband,1
Private,20,0,46,0,Other-service,0,HS-grad,0,Widowed,Unmarried,0
Private,39,1,46,0,Adm-clerical,0,HS-grad,0,Divorced,Not-in-family,0
State-gov,40,1,31,0,Protective-serv,0,Some-college,0,Married-civ-spouse,Husband,0
Private,20,0,22,1,Other-service,1579,Some-college,0,Never-married,Not-in-family,0
Self-emp-not-inc,20,0,57,1,Prof-specialty,0,Bachelors,0,Married-civ-spouse,Wife,0
Private,40,1,57,1,Sales,0,HS-grad,0,Married-civ-spouse,Husband,0
Self-emp-inc,60,1,38,1,Farming-fishing,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,0,38,0,Sales,0,HS-grad,0,Married-civ-spouse,Wife,1
Local-gov,50,1,46,1,Protective-serv,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,1,46,0,Machine-op-inspct,0,5th-6th,0,Never-married,Unmarried,0
Private,40,1,31,1,Prof-specialty,0,Bachelors,7688,Never-married,Not-in-family,1
Private,60,0,38,0,Exec-managerial,0,Some-college,15024,Married-civ-spouse,Husband,1
Private,40,0,22,1,Prof-specialty,0,HS-grad,0,Never-married,Unmarried,0
Private,40,0,46,1,Craft-repair,0,Some-college,0,Divorced,Unmarried,1
Private,20,0,22,0,Adm-clerical,0,Some-college,0,Never-married,Own-child,0
Private,40,0,46,0,Prof-specialty,0,Doctorate,0,Separated,Unmarried,1
Local-gov,50,0,46,1,Prof-specialty,0,Prof-school,0,Married-civ-spouse,Husband,1
Private,20,1,22,0,Prof-specialty,0,Assoc-voc,0,Never-married,Own-child,0
Private,20,0,31,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,46,0,Craft-repair,0,10th,0,Never-married,Unmarried,0
Private,50,1,57,0,Sales,0,HS-grad,0,Divorced,Not-in-family,0
Private,40,0,38,1,Other-service,0,Some-college,0,Divorced,Unmarried,0
Federal-gov,40,1,57,0,Adm-clerical,0,11th,0,Married-civ-spouse,Husband,0
Private,20,0,22,0,Other-service,0,Some-college,0,Never-married,Own-child,0
Private,40,1,38,1,Handlers-cleaners,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,40,0,57,0,Exec-managerial,0,Prof-school,0,Married-civ-spouse,Husband,0
Private,40,1,22,1,Adm-clerical,0,Masters,0,Never-married,Own-child,0
Private,40,0,38,0,Exec-managerial,1902,Doctorate,0,Married-civ-spouse,Husband,1
Private,39,0,57,0,Other-service,0,Some-college,0,Married-civ-spouse,Wife,0
Private,39,1,22,1,Sales,0,11th,0,Never-married,Own-child,0
Private,40,1,46,1,Adm-clerical,0,Some-college,0,Divorced,Unmarried,0
Private,20,0,31,1,Sales,0,Some-college,0,Never-married,Unmarried,0
Private,20,1,22,1,Adm-clerical,0,Some-college,0,Divorced,Own-child,0
Private,40,1,31,0,Handlers-cleaners,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,1,22,0,Protective-serv,0,HS-grad,0,Never-married,Other-relative,0
Self-emp-not-inc,39,1,46,0,Farming-fishing,0,Some-college,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,40,0,46,0,Sales,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,0,38,0,Craft-repair,0,HS-grad,5178,Never-married,Not-in-family,0
Private,20,1,22,1,Other-service,0,HS-grad,0,Never-married,Own-child,0
Private,20,1,22,1,Sales,0,Some-college,0,Never-married,Own-child,0
Private,40,1,31,0,Adm-clerical,0,Assoc-voc,0,Married-spouse-absent,Not-in-family,0
Private,20,0,22,0,Other-service,0,Some-college,0,Never-married,Not-in-family,0
Local-gov,40,1,57,1,Prof-specialty,0,Bachelors,0,Never-married,Not-in-family,0
Private,40,0,31,1,Other-service,0,HS-grad,0,Divorced,Unmarried,0
Private,40,1,22,0,Craft-repair,0,Assoc-acdm,0,Never-married,Own-child,0
Private,50,0,22,1,Adm-clerical,0,HS-grad,0,Never-married,Own-child,0
Private,40,1,31,1,Machine-op-inspct,0,Some-college,0,Married-civ-spouse,Husband,1
Private,20,1,22,1,Handlers-cleaners,0,Assoc-voc,0,Never-married,Own-child,0
Private,40,1,46,0,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,31,0,Transport-moving,0,7th-8th,0,Married-civ-spouse,Husband,0
Private,60,1,31,0,Farming-fishing,0,Bachelors,0,Married-AF-spouse,Husband,1
Private,40,0,22,1,Handlers-cleaners,0,Some-college,0,Never-married,Not-in-family,0
Private,40,0,31,0,Machine-op-inspct,0,HS-grad,2635,Married-civ-spouse,Husband,0
Federal-gov,20,0,57,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,0,38,0,Handlers-cleaners,0,Some-college,0,Married-civ-spouse,Husband,0
Private,50,1,57,0,Exec-managerial,0,Some-college,0,Divorced,Not-in-family,0
Self-emp-not-inc,40,1,31,1,Prof-specialty,0,Bachelors,2635,Never-married,Own-child,0
Private,60,1,38,1,Other-service,0,12th,0,Married-civ-spouse,Wife,0
Private,50,0,31,1,Exec-managerial,0,Some-college,0,Never-married,Not-in-family,0
Private,60,0,46,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,1
Local-gov,40,1,46,0,Protective-serv,0,Some-college,0,Married-civ-spouse,Husband,1
Private,40,1,46,0,Adm-clerical,0,Some-college,0,Divorced,Unmarried,0
Private,40,0,57,1,Prof-specialty,0,Prof-school,0,Married-civ-spouse,Husband,1
Local-gov,39,0,38,1,Exec-managerial,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,40,1,46,0,Prof-specialty,1902,Masters,0,Married-civ-spouse,Husband,1
Private,60,0,46,0,Machine-op-inspct,0,HS-grad,0,Separated,Unmarried,0
Private,40,0,46,0,Machine-op-inspct,0,Some-college,0,Separated,Not-in-family,0
Local-gov,40,0,38,1,Protective-serv,0,11th,0,Married-civ-spouse,Husband,0
Private,40,0,31,0,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,40,0,22,0,Adm-clerical,0,Assoc-acdm,0,Never-married,Not-in-family,0
Local-gov,40,0,22,0,Adm-clerical,0,HS-grad,0,Never-married,Own-child,0
Local-gov,20,0,57,1,Other-service,0,12th,0,Widowed,Unmarried,0
Self-emp-not-inc,20,0,57,1,Transport-moving,0,Bachelors,0,Married-civ-spouse,Husband,0
Federal-gov,39,0,22,1,Exec-managerial,0,Some-college,0,Never-married,Not-in-family,0
Local-gov,40,1,38,1,Adm-clerical,0,Bachelors,2635,Married-civ-spouse,Husband,0
Private,50,1,57,0,Sales,0,HS-grad,5178,Married-civ-spouse,Husband,1
Local-gov,39,0,46,1,Adm-clerical,0,Doctorate,0,Divorced,Unmarried,0
State-gov,40,0,22,1,Prof-specialty,0,Bachelors,0,Never-married,Not-in-family,0
Private,40,1,46,0,Other-service,0,Some-college,0,Divorced,Unmarried,0
Self-emp-not-inc,40,1,46,1,Farming-fishing,0,Some-college,0,Married-civ-spouse,Husband,1
Private,39,0,46,1,Prof-specialty,0,Bachelors,0,Married-civ-spouse,Husband,0
Private,39,1,57,1,Other-service,0,9th,0,Married-civ-spouse,Husband,0
Private,40,0,57,0,Adm-clerical,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,40,0,22,1,Exec-managerial,0,Some-college,0,Never-married,Unmarried,0
Local-gov,40,1,57,1,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,38,1,Craft-repair,0,7th-8th,0,Married-civ-spouse,Husband,0
Private,20,0,31,1,Other-service,0,Bachelors,0,Separated,Unmarried,0
Private,40,1,22,0,Machine-op-inspct,0,HS-grad,0,Never-married,Own-child,0
Private,40,0,57,1,Other-service,0,12th,0,Never-married,Other-relative,0
Private,20,1,46,1,Sales,0,HS-grad,0,Divorced,Not-in-family,0
Private,40,0,38,1,Adm-clerical,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,38,1,Transport-moving,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,39,1,46,1,Exec-managerial,0,Some-college,7688,Divorced,Not-in-family,1
Private,40,0,22,0,Other-service,0,HS-grad,0,Never-married,Own-child,0
Private,50,1,22,0,Exec-managerial,0,HS-grad,15024,Never-married,Other-relative,0
Federal-gov,50,0,38,0,Adm-clerical,0,1st-4th,0,Never-married,Not-in-family,0
Private,40,0,46,0,Exec-managerial,0,Bachelors,0,Divorced,Not-in-family,1
Private,20,0,22,0,Other-service,0,HS-grad,0,Never-married,Own-child,0
Private,20,0,57,0,Sales,0,Bachelors,0,Divorced,Not-in-family,0
Private,40,1,31,0,Tech-support,0,Assoc-voc,0,Married-civ-spouse,Husband,0
Private,39,0,31,0,Sales,0,Some-college,0,Never-married,Own-child,0
Private,20,1,31,1,Priv-house-serv,0,Some-college,0,Never-married,Other-relative,0
Private,40,1,46,0,Other-service,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,20,0,22,0,Transport-moving,0,10th,0,Never-married,Own-child,0
Private,50,1,22,1,Other-service,0,Assoc-acdm,0,Never-married,Own-child,0
Private,40,0,46,1,Craft-repair,0,9th,0,Divorced,Not-in-family,0
Private,40,0,22,1,Exec-managerial,0,Some-college,0,Never-married,Own-child,0
Private,40,1,22,1,Machine-op-inspct,0,HS-grad,0,Never-married,Own-child,0
Local-gov,40,0,22,1,Protective-serv,0,HS-grad,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,40,1,31,0,Exec-managerial,0,Assoc-acdm,0,Married-civ-spouse,Wife,1
Private,20,0,22,1,Other-service,0,HS-grad,0,Never-married,Not-in-family,0
Local-gov,39,1,46,1,Transport-moving,1579,HS-grad,0,Married-civ-spouse,Husband,0
Local-gov,40,0,31,1,Prof-specialty,0,Masters,2635,Never-married,Not-in-family,0
Private,40,1,38,1,Adm-clerical,0,Some-college,0,Married-civ-spouse,Husband,0
Private,60,1,31,0,Sales,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,1,22,0,Craft-repair,0,HS-grad,0,Never-married,Own-child,0
State-gov,40,0,31,1,Prof-specialty,0,Masters,0,Married-civ-spouse,Husband,1
Private,40,1,38,1,Other-service,0,HS-grad,0,Never-married,Not-in-family,0
Private,20,0,22,0,Sales,0,HS-grad,0,Never-married,Other-relative,0
Self-emp-not-inc,50,0,57,1,Prof-specialty,0,Masters,0,Married-civ-spouse,Husband,0
State-gov,40,0,46,1,Adm-clerical,0,HS-grad,0,Divorced,Unmarried,0
Self-emp-not-inc,20,0,57,1,Farming-fishing,0,9th,0,Married-civ-spouse,Husband,0
Private,50,0,31,0,Sales,0,HS-grad,5178,Married-civ-spouse,Wife,0
Local-gov,40,1,38,1,Prof-specialty,0,Assoc-acdm,0,Married-civ-spouse,Husband,0
Private,60,1,22,1,Prof-specialty,0,Masters,0,Never-married,Not-in-family,0
Self-emp-not-inc,60,1,46,0,Farming-fishing,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,60,0,38,0,Other-service,0,10th,5178,Married-civ-spouse,Husband,0
Private,60,1,31,1,Other-service,1876,HS-grad,0,Never-married,Unmarried,0
Private,60,0,38,0,Other-service,0,Some-college,0,Married-civ-spouse,Wife,0
Private,60,1,38,0,Handlers-cleaners,0,Some-college,0,Never-married,Own-child,0
Private,40,0,57,0,Machine-op-inspct,0,HS-grad,0,Married-civ-spouse,Husband,1
Self-emp-not-inc,39,1,46,0,Sales,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,40,0,31,1,Transport-moving,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,1,31,1,Exec-managerial,0,Bachelors,0,Never-married,Not-in-family,0
Local-gov,40,0,46,1,Transport-moving,0,Some-college,0,Divorced,Not-in-family,0
Private,20,1,22,1,Other-service,0,7th-8th,0,Married-civ-spouse,Other-relative,0
Private,39,1,31,1,Adm-clerical,0,Doctorate,0,Married-civ-spouse,Husband,1
Self-emp-not-inc,39,1,46,0,Craft-repair,0,7th-8th,0,Married-spouse-absent,Not-in-family,0
Federal-gov,20,1,22,0,Protective-serv,0,HS-grad,0,Divorced,Own-child,0
State-gov,20,0,22,1,Exec-managerial,0,Some-college,0,Never-married,Own-child,0
Private,40,1,22,1,Prof-specialty,0,Masters,0,Married-civ-spouse,Husband,0
Private,40,0,22,1,Handlers-cleaners,0,Some-college,0,Never-married,Own-child,0
Private,39,0,22,0,Prof-specialty,0,Assoc-voc,0,Never-married,Not-in-family,0
Private,60,0,31,0,Exec-managerial,0,HS-grad,0,Never-married,Not-in-family,0
Self-emp-not-inc,40,1,31,0,Exec-managerial,0,Masters,0,Married-civ-spouse,Husband,1
Private,50,0,57,1,Craft-repair,1902,Assoc-acdm,0,Married-civ-spouse,Husband,1
Self-emp-not-inc,40,0,38,0,Other-service,0,Bachelors,0,Never-married,Unmarried,0
Local-gov,40,0,57,0,Protective-serv,0,Some-college,0,Married-civ-spouse,Husband,1
Private,60,0,38,0,Tech-support,0,HS-grad,0,Separated,Unmarried,0
Private,40,1,38,0,Other-service,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,0,57,1,Other-service,0,11th,0,Divorced,Unmarried,0
Private,40,1,57,0,Sales,0,HS-grad,0,Married-civ-spouse,Wife,0
Private,60,1,31,0,Sales,0,HS-grad,0,Never-married,Own-child,0
Private,40,1,22,1,Exec-managerial,0,HS-grad,0,Never-married,Not-in-family,0
